epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,152.677,0.66281,1.03235,0.66306,0.96443,0.91831,0.98854,0.98313,0.65345,0.88648,0.95398,0.95194,0.61223,1.11142,3.21766,0.80184,1.30872,0.000709809,0.000709809,0.000709809
31,156.379,0.73851,1.05981,0.70744,1.01677,0.95057,0.9891,0.988,0.64295,0.91655,0.95455,0.93797,0.56307,1.18187,3.24949,0.8081,1.37413,0.000676802,0.000676802,0.000676802
32,160.745,0.62587,0.89691,0.60873,0.94194,0.95618,1,0.995,0.60498,0.89194,0.95786,0.90578,0.5545,1.17056,2.99115,0.85653,1.32563,0.000643795,0.000643795,0.000643795
33,167.042,0.6367,0.9474,0.63621,0.96482,0.89245,1,0.94961,0.55062,0.83433,0.92857,0.82799,0.50959,1.21545,2.97709,0.91272,1.38786,0.000610789,0.000610789,0.000610789
34,170.58,0.66478,0.95049,0.6406,0.9707,0.98309,1,0.995,0.67521,0.98309,1,0.995,0.58601,1.02528,3.20302,0.75962,1.25944,0.000577782,0.000577782,0.000577782
35,174.423,0.63537,0.94952,0.60271,0.96017,0.98392,1,0.995,0.70521,0.98392,1,0.995,0.59908,0.96045,3.06215,0.68416,1.20304,0.000544776,0.000544776,0.000544776
36,178.655,0.61291,0.94223,0.59739,0.941,0.98472,1,0.995,0.71123,0.98472,1,0.995,0.63148,0.94882,3.08004,0.69581,1.22294,0.000511769,0.000511769,0.000511769
37,184.732,0.6372,0.93641,0.60455,0.96828,0.98633,1,0.995,0.71927,0.98633,1,0.995,0.62809,0.96669,3.08205,0.68107,1.22824,0.000478762,0.000478762,0.000478762
38,188.697,0.63129,0.91164,0.59362,0.95634,0.98444,1,0.995,0.71782,0.98444,1,0.995,0.63875,0.98969,3.05012,0.66462,1.22625,0.000445756,0.000445756,0.000445756
39,192.453,0.61366,0.92897,0.60511,0.96087,0.98424,1,0.995,0.73871,0.98424,1,0.995,0.64239,0.95323,2.99221,0.63137,1.2004,0.000412749,0.000412749,0.000412749
40,196.664,0.57612,0.91705,0.57604,0.95173,0.98548,1,0.995,0.71515,0.98548,1,0.995,0.61375,1.0002,3.02098,0.62294,1.2116,0.000379743,0.000379743,0.000379743
